KEY,English(US),English(UK),Japanese,Spanish,French,German,Italian
StatusDetailHelp,[FEED=4]Status[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Petrified\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Venom\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Virus\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Silence\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Darkness\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Trouble\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN],[FEED=4]Status[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Petrified\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Venom\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Virus\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Silence\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Darkness\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Trouble\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN],[FEED=4]ステータス[FEED=18]\n[ICON=154] [FEED=8][YADD=1]せきか[YSUB=5]\n[ICON=153] [FEED=8][YADD=1]もうどく[YSUB=5]\n[ICON=152] [FEED=8][YADD=1]ウイルス[YSUB=5]\n[ICON=151] [FEED=8][YADD=1]ちんもく[YSUB=5]\n[ICON=150] [FEED=8][YADD=1]くらやみ[YSUB=5]\n[ICON=149] [FEED=8][YADD=1]めいわく[YSUB=5]\n[ICON=148] [FEED=8][YADD=1]ゾンビ[YSUB=5][ENDN],[FEED=4]Estados[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Piedra\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Veneno+\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Virus\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Mudez\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Ceguera\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Molestia\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN],[FEED=4]Etats[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Fossile\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Poison\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Virus\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Mutisme\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Obscurité\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Embrouilles\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN],[FEED=4]Status[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Stein\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Toxitus\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Infektion\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Schweigen\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Blind\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Neurose\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN],[FEED=4]Status[FEED=18]\n[YADD=4][ICON=154] [YSUB=4][FEED=6]Pietra\n[YADD=4][ICON=153] [YSUB=4][FEED=6]Fiele\n[YADD=4][ICON=152] [YSUB=4][FEED=6]Virus\n[YADD=4][ICON=151] [YSUB=4][FEED=6]Silenzio\n[YADD=4][ICON=150] [YSUB=4][FEED=6]Blind\n[YADD=4][ICON=149] [YSUB=4][FEED=6]Disturbo\n[YADD=4][ICON=148] [YSUB=4][FEED=6]Zombie[YADD=2][ENDN]
Speed,Speed,Speed,すばやさ,Rapidez,Vitesse,Gewandheit,Velocità
Strength,Strength,Strength,ちから,Fuerza,Force,Stärke,Forza
Magic,Magic,Magic,まりょく,Magia,Magie,Zauber,POT magico
Spirit,Spirit,Spirit,きりょく,Espíritu,Psy,Wille,POT spirito
AttackStats,Attack,Attack,こうげきりょく,Ataque F,Attaque,Angriff,ATT fisico
DefenseStats,Defence,Defence,ぼうぎょりょく,Defensa F,Défense,Abwehr,DIF fisica
Evade,Evade,Evade,かいひりつ,Evasión F,Esquive,Reflex,DST fisica
MagicDef,Magic Def,Magic Def,まほうぼうぎょ,Defensa M,Protection,Z-Abwehr,DIF magica
MagicEva,Magic Eva,Magic Eva,まほうかいひ,Evasión M,Esqmg,Z-Reflex,DST magica
Trance,Trance,Trance,トランス,Trance,Transe,Trance,Trance
,,,,,,,
Order,Order,Order,たいけい,Reubicar,Position,Position,Schema
,,,,,,,
Config,Config,Config,コンフィグ,Adaptar,Config.,Optionen,Configura
Sound,Sound,Sound,サウンド,Sonido,Son,Sound,Suono
SoundEffect,Sound Effects,Sound Effects,効果音,Efectos de sonido,Effets sonores,Soundeffekte,Effetti sonori
Controller,Controls,Controls,コントローラ,Config. mando,Touches,Tastenbelegung,Controlli
Cursor,Cursor,Cursor,カーソルきおく,Posición cursor,Pointeur,Fingerzeiger,Cursore
Atb,ATB,ATB,ATB,Tiempo batalla,ATB,ATB,ATB
Movement,Movement,Movement,つうじょういどう,Desplazamiento,Déplacement,Fortbewegung,Andatura
FieldMessage,Field Message,Field Message,フィールドメッセージ,Veloc. mensajes,Message Terrain,Texttempo,Vel. messaggi
BattleSpeed,Battle Speed,Battle Speed,バトルスピード,Veloc. batalla,Vitesse Combat,Kampftempo,Vel. battaglia
SkipBattleCamera,Skip Battle Camera,Skip Battle Intro,戦闘開始時の演出スキップ,Omitir cámara de batalla,Passer l’intro des combats,Animation zu Kampfbeginn,Salta l’intro delle battaglie
BattleCamera,Battle Camera,Battle Camera,バトルカメラ,Cámara batalla,Caméra Combat,Kamera,Inquadratura
,,,,,,,
HereIcon,HERE Icon,HERE Icon,HEREアイコン,Icono ubicación,Icone ICI,Fingerzeiger,Icona QUI
WindowColor,Window Color,Window Color,ウィンドウカラー,Color ventanas,Couleur Ecran,Fensterfarbe,Colore finestre
Vibration,Vibration,Vibration,振動機能,Vibración,Vibrations,Vibration,Vibrazione
ShowBasicTutorial,Basic Controls Tutorial,Basic Controls Tutorial,基本操作チュートリアル,Instrucciones - Controles,Tutoriel des commandes,Steuerungstutorial,Tutorial: Comandi di base
ShowBattleTutorial,Combat Tutorial,Combat Tutorial,バトルチュートリアル,Instrucciones - Combate,Tutoriel du combat,Kampftutorial,Tutorial: Battaglia
ToTitle,Title Screen,Title Screen,タイトルへ,Pantalla del título,Écran titre,Zum Titelbildschirm,Schermata iniziale
QuitGame,Quit Game,Quit Game,ゲーム終了,Salir del juego,Quitter le jeu,Spiel beenden,Esci dal gioco
SoundHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to turn\non/off the background music.,Press [DBTN=LEFT][DBTN=RIGHT] to turn\non/off the background music.,サウンドモードの設定をします。\n [DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel modo de audio.,Configurez le mode audio\navec [DBTN=LEFT][DBTN=RIGHT][FEED=2].,"Soundeinstellungen vornehmen.\nMit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]kann die Einstellung\ngeändert werden.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare\no disattivare la musica.
SoundHelpMobile,Tap to turn on/off the background music.,Tap to turn on/off the background music.,タップでBGMのオン／オフを切替え。,Toca para activar o desactivar la música.,Touchez pour activer ou désactiver la musique.,"Tippen Sie hier, um die Hintergrundmusik\nan- oder auszuschalten.",Tocca per attivare o disattivare\nla musica.
SoundEffectHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to turn\non/off the sound effects.,Press [DBTN=LEFT][DBTN=RIGHT] to turn\non/off the sound effects.,効果音の設定です。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para activar\no desactivar los efectos de sonido.,Configurez les effets sonores\navec [DBTN=LEFT][DBTN=RIGHT][FEED=2].,"Drücken Sie [DBTN=LEFT][DBTN=RIGHT],\num Soundeffekte an- oder auszuschalten.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare\no disattivare gli effetti sonori.
SoundEffectHelpMobile,Tap to turn on/off the sound effects.,Tap to turn on/off the sound effects.,タップで効果音のオン／オフを切り替え。,Toca para activar o desactivar\nlos efectos de sonido.,Touchez pour activer ou désactiver les effets sonores.,"Tippen Sie hier, um Soundeffekte\nan- oder auszuschalten.",Tocca per attivare o disattivare\ngli effetti sonori.
ControllerHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to change\nthe controller setting.\nSelect Custom and press [CBTN=CROSS]\nto rearrange the button configuration.,Press [DBTN=LEFT][DBTN=RIGHT] to change\nthe controller setting.\nSelect Custom and press [CBTN=CROSS]\nto rearrange the button configuration.,コントローラのボタン設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『カスタム』を選んで[FEED=2][CBTN=CIRCLE][FEED=2]ボタンをおすと、\nボタンのわりふりを設定する画面にうつります。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nla configuración del mando.\nSi quieres asignar funciones\na cada botón, selecciona\n“Personal” y pulsa [CBTN=CROSS].",Configuration des touches.\nChoisissez ”Normal” ou ”Perso”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nChoisir ”Perso” et appuyer sur la touche [CBTN=CROSS]\npermet de changer les fonctions des touches.,"Tastenbelegung einstellen. Wählen \nSie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2] 【Custom】 und bestätigen\nSie mit [FEED=2][CBTN=CROSS][FEED=2], um individuelle Tasteneinstellungen\nvorzunehmen.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare la\nconfigurazione dei Controller.\nÈ possibile assegnare funzioni\ndiverse ai tasti direzionali con\nMODIFICA. Conferma con [CBTN=CROSS]
ControllerHelpMobile,Press [DBTN=LEFT][DBTN=RIGHT] to change\nthe controller setting.\nSelect Custom and press [CBTN=CROSS]\nto rearrange the button configuration.,Press [DBTN=LEFT][DBTN=RIGHT] to change\nthe controller setting.\nSelect Custom and press [CBTN=CROSS]\nto rearrange the button configuration.,コントローラのボタン設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『カスタム』を選んで[FEED=2][CBTN=CIRCLE][FEED=2]ボタンをおすと、\nボタンのわりふりを設定する画面にうつります。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nla configuración del mando.\nSi quieres asignar funciones\na cada botón, selecciona\n“Personal” y pulsa [CBTN=CROSS].",Configuration des touches.\nChoisissez ”Normal” ou ”Perso”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nChoisir ”Perso” et appuyer sur la touche [CBTN=CROSS]\npermet de changer les fonctions des touches.,"Tastenbelegung einstellen. Wählen \nSie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2] 【Custom】 und bestätigen\nSie mit [FEED=2][CBTN=CROSS][FEED=2], um individuelle Tasteneinstellungen\nvorzunehmen.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare la\nconfigurazione dei Controller.\nÈ possibile assegnare funzioni\ndiverse ai tasti direzionali con\nMODIFICA. Conferma con [CBTN=CROSS]
CursorHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to set the cursor mode.\nChoose Memory to make the cursor appear\nwhere you left it.,Press [DBTN=LEFT][DBTN=RIGHT] to set the cursor mode.\nChoose Memory to make the cursor appear\nwhere you left it.,バトル中のカーソル記憶の設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『きおく』を選ぶとウインドウを閉じても\n指カーソルの位置を記憶しています。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para activar o\ndesactivar la memoria del\ncursor en las batallas.\nSi eliges “Memoria”, el\ncursor recordará su posición.",Configure le pointeur.\nChoisissez ”Initial” ou ”Mémoire”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nChoisissez ”Mémoire” pour retrouver\nle pointeur à la même place la prochaine\nfois que vous ouvrirez ce menu.,"Letzte Cursorposition merken.\nWählen Sie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]【Merken】, um die\nletzte Cursorposition zu speichern.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare o\ndisattivare la memoria cursore\nnelle battaglie. Con MEMORIA,\nil cursore ricorda la posizione."
CursorHelpMobile,Tap to set the cursor mode.\nChoose Memory to make the cursor appear\nwhere you left it.,Tap to set the cursor mode.\nChoose Memory to make the cursor appear\nwhere you left it.,タップでカーソル記憶の設定をします。\n『きおく』を選ぶとウインドウを閉じても\n指カーソルの位置を記憶しています。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para activar o\ndesactivar la memoria del\ncursor en las batallas.\nSi eliges “Memoria”, el\ncursor recordará su posición.",Configure le pointeur.\nChoisissez ”Initial” ou ”Mémoire”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nChoisissez ”Mémoire” pour retrouver\nle pointeur à la même place la prochaine\nfois que vous ouvrirez ce menu.,"Letzte Cursorposition merken.\nWählen Sie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]【Merken】, um die\nletzte Cursorposition zu speichern.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare o\ndisattivare la memoria cursore\nnelle battaglie. Con MEMORIA,\nil cursore ricorda la posizione."
AtbHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to set the ATB mode.\nChoose Active to battle in real time.,Press [DBTN=LEFT][DBTN=RIGHT] to set the ATB mode.\nChoose Active to battle in real time.,バトル中の時間の進み方の設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『アクティブ』を選ぶとリアルタイムに時間が進みます。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel modo de batalla.\nSi eliges “Continuo”, la acción\nno se detendrá durante la lucha.","Règle lʹavancée de la jauge ATB\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nSi vous choisissez ”Actif”, la jauge ATB\nse remplit en temps réel.","Einstellungen zur Regenerationsgeschwindigkeit\nder ATB. Wählen Sie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]【Echtzeit】, um die\nErholung der ATB in Echtzeit zu verfolgen.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare il\nmodo di battaglia. Selezionando\nATTIVATO, il tempo di battaglia\nscorrerà regolare, senza pause."
AtbHelpMobile,Tap to set the ATB mode.\nChoose Active to battle in real time.,Tap to set the ATB mode.\nChoose Active to battle in real time.,タップでバトル中の時間の進み方の設定をします。\n『アクティブ』を選ぶとリアルタイムに時間が進みます。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel modo de batalla.\nSi eliges “Continuo”, la acción\nno se detendrá durante la lucha.","Règle lʹavancée de la jauge ATB\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nSi vous choisissez ”Actif”, la jauge ATB\nse remplit en temps réel.","Einstellungen zur Regenerationsgeschwindigkeit\nder ATB. Wählen Sie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]【Echtzeit】, um die\nErholung der ATB in Echtzeit zu verfolgen.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare il\nmodo di battaglia. Selezionando\nATTIVATO, il tempo di battaglia\nscorrerà regolare, senza pause."
MovementHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to set your characterʹs\nmovement.  Hold down [CBTN=CIRCLE] to change your\ndefault movement when you are moving in\nthe field map.,Press [DBTN=LEFT][DBTN=RIGHT] to set your characterʹs\nmovement.  Hold down [CBTN=CIRCLE] to change your\ndefault movement when you are moving in\nthe field map.,フィールドマップでの通常の\n移動スタイルを設定します。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\nフィールドマップで[FEED=2][CBTN=CROSS][FEED=2]ボタンをおして\nいるあいだは設定がいれかわります。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT][FEED=2] para seleccionar\nel modo normal de desplazamiento\nen las zonas de acción.\nDurante el juego puedes cambiar\nmomentáneamente el modo pulsando\nel botón [CBTN=CIRCLE].,"Règle la vitesse de déplacement.\nChoisissez ”Marcher” ou ”Courir”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nEn maintenant la touche [CBTN=CIRCLE] enfoncée,\nle personnage se déplace selon lʹoption\nnon sélectionnée.","Die Einstellung der Fortbewegungsart\nkann mit [DBTN=LEFT], [DBTN=RIGHT][FEED=2]geändert werden.\nHalten Sie im Normalmodus [FEED=2][CBTN=CIRCLE][FEED=2]gedrückt,\nändert sich die Einstellung.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare il\nmodo di movimento ordinario nel\nmappacampo. Si può cambiare\nmomentaneamente il modo se\nsi preme [CBTN=CIRCLE] durante il gioco.
MovementHelpMobile,"Tap to set your character's movement.\nOr slide the virtual analog for less distance to walk,\nmore to run.","Tap to set your character's movement.\nOr slide the virtual analog for less distance to walk,\nmore to run.",タップで通常の移動スタイルを設定します。\nヴァーチャルパッドを少し動かすと歩き、大きく動かすと走ります。,Toca para seleccionar\nel modo de desplazamiento\nen las zonas de acción.,Touchez pour régler la vitesse de déplacement.\nGlissez la manette virtuelle pour marcher ou courir.,"Tippen Sie hier, um Einstellungen der\nFortbewegungsart vorzunehmen.\nOder ziehen Sie die virtuelle Steuerung,\num zu laufen oder zu rennen.",Tocca per impostare il modo\ndi movimento ordinario nel mappacampo.\nOppure fai scorrere più o meno il pad virtuale\nper correre o camminare.
FieldMessageHelpPC,Press [DBTN=LEFT] [DBTN=RIGHT] to select\nthe field message speed.,Press [DBTN=LEFT] [DBTN=RIGHT] to select\nthe field message speed.,フィールド中のメッセージのながれる\n速さを設定します。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で7段階の速さを選べます。,Ajusta la velocidad con que\npasan los mensajes durante\nlas batallas seleccionando una\nde las 7 posiciones con [DBTN=LEFT] o [DBTN=RIGHT].,Règle la vitesse des messages sʹaffichant\nsur le terrain. 7 vitesses sont disponibles.\nChoisissez-en une à lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].,"Die Einblendezeit der Texte kann\nmit [DBTN=LEFT], [DBTN=RIGHT][FEED=2] in 7 verschiedene\nStufen eingestellt werden.",Imposta la velocità dei messaggi\nnelle battaglie. Seleziona una\ndelle 7 posizioni con [DBTN=LEFT] o [DBTN=RIGHT]
FieldMessageHelpMobile,Tap on the button and slide to select the field message speed.,Tap on the button and slide to select the field message speed.,項目を選んで、スライダーでメッセージの速さを\n設定します。,Toca el botón y desliza para\najustar la velocidad con que\npasan los mensajes durante\nlas batallas.,Touchez le bouton et glissez pour\nrégler la vitesse des messages\ns'affichant sur le terrain.,"Tippen Sie hier, um die Textgeschwindigkeit\neinzustellen.",Fai scorrere il dito sulla barra per impostare\nla velocità dei messaggi nelle battaglie.
BattleSpeedHelpPC,Press [DBTN=LEFT] [DBTN=RIGHT] to set\nthe battle speed.,Press [DBTN=LEFT] [DBTN=RIGHT] to set\nthe battle speed.,バトル中の時間の進む\n速さを設定します。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で3段階の速さを選べます。,Ajusta la velocidad con que\ntranscurre el tiempo en las\nbatallas seleccionando una de\nlas 3 posiciones con [DBTN=LEFT] o [DBTN=RIGHT].,Règle la vitesse des combats.\n3 vitesses sont disponibles.\nSélectionnez-en une\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].,"Die Geschwindigkeit des Kampfablaufes\nkann mit [DBTN=LEFT], [DBTN=RIGHT][FEED=2] in 3 verschiedene Stufen\neingestellt werden.",Imposta la velocità dello scorrere\ndel tempo nelle battaglie. Seleziona\nuna delle 3 posizioni con [DBTN=LEFT] o [DBTN=RIGHT]
BattleSpeedHelpMobile,Tap on the button and slide to set the battle speed.,Tap on the button and slide to set the battle speed.,項目を選んで、スライダーでバトル中の時間の\n進む速さを設定します。,Toca el botón y desliza para\najustar la velocidad con que\ntranscurre el tiempo en las\nbatallas.,Touchez pour régler la vitesse des combats.,"Tippen Sie hier und wischen Sie entlang\nder Leiste, um das Kampftempo einzustellen.",Fai scorrere il dito sulla barra\nper impostare la velocità\ndello scorrere del tempo\nnelle battaglie.
SkipBattleCameraHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to set the battle\nintro camera mode. Choose ON to start the\nbattle without the intro camera.,Press [DBTN=LEFT][DBTN=RIGHT] to set the battle\nintro camera mode. Choose ON to start the\nbattle without the intro camera.,戦闘突入時のカメラ演出スキップを設定します。\n [DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n「ON」を選択すると、カメラ演出無しで戦闘が開始します。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel modo de la cámara\nal inicio de las batallas.\nNo habrá introducción si\neliges “Omitir cámara de batalla”.,Pressez [DBTN=LEFT][DBTN=RIGHT] pour configurer\nle mode caméra au début des combats.\nChoisissez ”ON” pour commencer le combat\nsans l'intro.,"Drücken Sie [DBTN=LEFT][DBTN=RIGHT], um Einstellungen\nzur Animation zu Kampfbeginn vorzunehmen.\nWählen sie 【AN】, um Kämpfe ohne die\n Animation zu beginnen.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per saltare\no visualizzare l'intro delle battaglie.\nSelezionando ON, inizierai la battaglia\nsenza vedere l'intro."
SkipBattleCameraHelpMobile,Tap to set the battle intro camera mode.\nChoose ON to start the battle without the intro camera.,Tap to set the battle intro camera mode.\nChoose ON to start the battle without the intro camera.,タップで戦闘突入時のカメラ演出スキップを設定します。\n「ON」を選択すると、カメラ演出無しで戦闘が開始します。,Toca para seleccionar\nel modo de la cámara\nal inicio de las batallas.\nNo habrá introducción si\neliges “Omitir cámara de batalla”.,Touchez pour configurer le mode\ncaméra au début des combats.\nChoisissez ”ON” pour commencer\nle combat sans l'intro.,"Tippen Sie hier, um Einstellungen zur\nAnimation zu Kampfbeginn vorzunehmen.\nWählen sie 【AN】, um Kämpfe ohne die\nAnimation zu beginnen.","Tocca per saltare o visualizzare\nl'intro delle battaglie.\nSelezionando ON, inizierai la battaglia\nsenza vedere l'intro."
BattleCameraHelpPC,Press [DBTN=LEFT][DBTN=RIGHT] to change the battle\ncamera setting.  Choose Auto to view\nthe battle scene from different angles.,Press [DBTN=LEFT][DBTN=RIGHT] to change the battle\ncamera setting.  Choose Auto to view\nthe battle scene from different angles.,バトル中のカメラの動き方を設定します。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『こてい』を選んでもカメラが動くことがあります。,Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para seleccionar\nel modo de movimiento de la\ncámara durante las batallas.\nLa cámara se moverá a veces\naunque hayas elegido “Fija”.,"Règle les mouvements de caméra.\nChoisissez ”Auto” ou ”Fixe”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nAvec lʹoption ”Auto”, vous aurez une vision\nplus dynamique des combats. Cependant, lʹoption\n”Fixe” ne propose pas toujours le même angle.","Einstellungen zur Steuerung im Kampf.\nWählen Sie mit [DBTN=LEFT], [DBTN=RIGHT] [FEED=2]【Custom】 und bestätigen\nSie mit[FEED=2] [CBTN=CROSS][FEED=2], um die Steuerung der\nCharaktere auf 2 Controller zu verteilen.",Premi [DBTN=LEFT] o [DBTN=RIGHT] per impostare\nlʹinquadratura in battaglia.\nA volte si muove anche se\nè stato selezionato FISSA.
BattleCameraHelpMobile,Tap to change the battle camera setting.\nChoose Auto to view the battle scene from different angles.,Tap to change the battle camera setting.\nChoose Auto to view the battle scene from different angles.,タップでバトル中のカメラの動き方を設定します。\n『こてい』を選んでもカメラが動くことがあります。,Toca para seleccionar\nel modo de movimiento de la\ncámara durante las batallas.\nLa cámara se moverá a veces\naunque hayas elegido “Fija”.,"Touchez pour régler la caméra.\nAvec lʹoption ”Auto”, vous aurez une vision\nplus dynamique des combats.","Kameraeinstellungen im Kampf\nTippen Sie auf 【Auto】, damit die Kamera\nKämpfe aus verschiedenen Winkel zeigt.",Tocca per impostare l'inquadratura\nin battaglia. A volte si muove anche\nse è stato selezionato FISSA.
HereIconHelpPC,"Press [DBTN=LEFT] [DBTN=RIGHT] to turn on/off\nthe HERE Icon. If you select OFF, you can\nstill make the icon appear in the field map\nby pressing [DBTN=SELECT].","Press [DBTN=LEFT] [DBTN=RIGHT] to turn on/off\nthe HERE Icon. If you select OFF, you can\nstill make the icon appear in the field map\nby pressing [DBTN=SELECT].",フィールドマップでHEREアイコンを\n出すかどうかの設定をします。\n[DBTN=LEFT][DBTN=RIGHT][FEED=2]で設定をきりかえられます。\n『ON』『OFF』どちらを選んでも、\nフィールドマップで[FEED=2][DBTN=SELECT][FEED=2]ボタンをおせば、\nいつでもHEREアイコンを出せます。,"Pulsa [DBTN=LEFT] o [DBTN=RIGHT] para activar\no desactivar el icono de\nubicación. Aunque elijas\nNO, podrás visualizar el\nicono en las zonas de acción\npulsando el botón [DBTN=SELECT].","Permet dʹafficher lʹicone ”ICI”\nsur la plan. Choisissez ”ON” ou ”OFF”\nà lʹaide des touches [DBTN=LEFT][DBTN=RIGHT].\nMême si votre choix est ”OFF”, vous pouvez\nafficher lʹicone ”ICI” en appuyant\nsur la touche [FEED=2][DBTN=SELECT][FEED=2].","Ein- oder Ausblenden des Fingerzeigers.\nMit [DBTN=LEFT], [DBTN=RIGHT][FEED=2] kann dieser auf 【Ein】 oder 【Aus】\ngeschaltet werden. Drücken Sie im\nNormalmodus [FEED=2][DBTN=SELECT][FEED=2], kann diese Einstellung\njederzeit rückgängig gemacht werden.","Premi [DBTN=LEFT] o [DBTN=RIGHT] per attivare o\ndisattivare lʹicona QUI. Anche se in\nOFF, è possibile visualizzare lʹicona\nnel mappacampo premendo [DBTN=SELECT]"
HereIconHelpMobile,"Tap to turn on/off the HERE Icon.\nIf you select OFF, you can still make\nthe icon appear in the field map\nby pressing [MOBI=279]","Tap to turn on/off the HERE Icon.\nIf you select OFF, you can still make\nthe icon appear in the field map\nby pressing [MOBI=279]",タップでフィールドマップでHEREアイコンを\n出すかどうかの設定をします。\n『ON』『OFF』どちらを選んでも、\nフィールドマップで[FEED=2][MOBI=279][FEED=2]ボタンをタップで、\nいつでもHEREアイコンを出せます。,"Toca para activar\no desactivar el icono de\nubicación. Aunque elijas\nNO, podrás visualizar el\nicono en las zonas de acción\npulsando [MOBI=279].","Touchez pour activer ou désactiver\nl'icone ”ICI”. Si vous sélectionnez OFF,\nvous pouvez afficher l'icône ultérieurement\nen touchant [MOBI=279].","Tippen Sie hier, um den Fingerzeiger\nein- und auszublenden. Über [MOBI=279] kann\nder Fingerzeiger im Normalmodus immer\naufgerufen werden.","Tocca per attivare o disattivare\nl'icona QUI. Anche se in OFF,\nè possibile visualizzare l'icona\nnel mappacampo premendo [MOBI=279]."
